state_residence,district_residence,Date,new_case,negative_case,Failed_test,Total_test
TELANGANA,YADADRI BHUVANAGIRI,2021-03-21,0,816,0,816
TELANGANA,YADADRI BHUVANAGIRI,2021-03-22,0,446,0,446
TELANGANA,YADADRI BHUVANAGIRI,2021-03-23,0,1056,0,1056
TELANGANA,YADADRI BHUVANAGIRI,2021-03-24,1,421,0,422
TELANGANA,YADADRI BHUVANAGIRI,2021-03-25,0,493,0,493
TRIPURA,DHALAI,2021-03-21,0,2,0,2
TRIPURA,DHALAI,2021-03-22,0,24,0,24
TRIPURA,DHALAI,2021-03-23,4,87,0,91
TRIPURA,DHALAI,2021-03-24,0,10,0,10
TRIPURA,DHALAI,2021-03-25,0,27,0,27
TRIPURA,GOMATI,2021-03-21,0,4,0,4
TRIPURA,GOMATI,2021-03-22,0,40,0,40
TRIPURA,GOMATI,2021-03-23,0,32,0,32
TRIPURA,GOMATI,2021-03-24,0,43,0,43
TRIPURA,GOMATI,2021-03-25,0,32,0,32
TRIPURA,KHOWAI,2021-03-21,0,7,0,7
TRIPURA,KHOWAI,2021-03-22,0,30,0,30
TRIPURA,KHOWAI,2021-03-23,0,36,0,36
TRIPURA,KHOWAI,2021-03-24,0,65,0,65
TRIPURA,KHOWAI,2021-03-25,0,18,0,18
TRIPURA,NORTH TRIPURA,2021-03-21,0,47,0,47
TRIPURA,NORTH TRIPURA,2021-03-22,0,93,0,93
TRIPURA,NORTH TRIPURA,2021-03-23,0,75,0,75
TRIPURA,NORTH TRIPURA,2021-03-24,0,170,0,170
